ruleCode,ruleName,severity,status,loanRecordId,field,observed,expected,clusterKey
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lgvyea7ebb556551ba67,borrowerState,"unrecognised state ""--""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lh30dcac74a70bcf3e77,borrowerState,"unrecognised state ""Unknown""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lh84b0ba1d881c541fdb,borrowerState,"unrecognised state ""Ontario""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lhbg72a135a2106f5ae9,borrowerState,"unrecognised state ""Ontario""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lhgwd0072208a654cd53,borrowerState,"unrecognised state ""N/A""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lhkneb57fe0253b68fce,borrowerState,"unrecognised state ""XX""",a two-letter USPS state code,FMT-004
FMT-004,Invalid state code,WARNING,WAIVED,mtg4lhny8581c9ee0eb8c9a5,borrowerState,"unrecognised state ""XX""",a two-letter USPS state code,FMT-004
FMT-005,Malformed postal code,WARNING,REJECTED,mtg4lgqk1736f901278bd49e,borrowerZip,"malformed ZIP ""-----""",##### or #####-####,FMT-005
RNG-001,Credit score outside 300-850,CRITICAL,REJECTED,mtg4lgau092f82c38fa37b66,creditScore,8500,300 to 850,RNG-001
RNG-001,Credit score outside 300-850,CRITICAL,REJECTED,mtg4lgiqaf9e835aefc9b0b5,creditScore,250,300 to 850,RNG-001
RNG-001,Credit score outside 300-850,CRITICAL,REJECTED,mtg4lgpg241c4762582cbdd0,creditScore,1200,300 to 850,RNG-001
RNG-001,Credit score outside 300-850,CRITICAL,REJECTED,mtg4lgw4d6d4ab2f95e40020,creditScore,1200,300 to 850,RNG-001
RNG-001,Credit score outside 300-850,CRITICAL,REJECTED,mtg4lh8v1545282cac1baf2e,creditScore,45,300 to 850,RNG-001
RNG-001,Credit score outside 300-850,CRITICAL,REJECTED,mtg4lhiba123986d29299bad,creditScore,900,300 to 850,RNG-001
RNG-002,Interest rate outside plausible range,CRITICAL,RESOLVED,mtg4lg9g8c60e27cb003ae65,interestRate,678.4000,0% to 25%,RNG-002
RNG-002,Interest rate outside plausible range,CRITICAL,RESOLVED,mtg4lgp8e2cc62536c4984e2,interestRate,512.5000,0% to 25%,RNG-002
RNG-002,Interest rate outside plausible range,CRITICAL,RESOLVED,mtg4lh9l61e40c1a02d25014,interestRate,621.4000,0% to 25%,RNG-002
RNG-003,Term outside 1-480 months,CRITICAL,RESOLVED,mtg4lg9w7a2c0585bdfb4801,termMonths,600,1 to 480 months,RNG-003
RNG-003,Term outside 1-480 months,CRITICAL,RESOLVED,mtg4lgq634fa3108898300fa,termMonths,600,1 to 480 months,RNG-003
RNG-003,Term outside 1-480 months,CRITICAL,RESOLVED,mtg4lhb227eec91605f25bd5,termMonths,600,1 to 480 months,RNG-003
RNG-004,Negative principal or balance,BLOCKER,RESOLVED,mtg4lg8u456ae09e954c7cba,currentBalance,-98014.76,zero or greater,RNG-004
RNG-004,Negative principal or balance,BLOCKER,RESOLVED,mtg4lgnb3311075ffb0c0c33,currentBalance,-68036.83,zero or greater,RNG-004
RNG-004,Negative principal or balance,BLOCKER,RESOLVED,mtg4lh55cc508b6a6a8bf5de,currentBalance,-334490.62,zero or greater,RNG-004
RNG-005,Days past due implausible,WARNING,WAIVED,mtg4lgaob544eae28fbde08f,daysPastDue,-10,0 to 3650,RNG-005
RNG-005,Days past due implausible,WARNING,WAIVED,mtg4lgs7c5fe78c196e16d76,daysPastDue,-10,0 to 3650,RNG-005
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lg90b53c3879079837da,currentBalance,183351.78,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lgd88465c3c15a07d387,currentBalance,716673.61,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lghb9beb670c2644db86,currentBalance,180836.47,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lgksd40758ea1392a436,currentBalance,272104.93,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lgogc6e3feca06739396,currentBalance,776643.34,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lgs28ba13d608ec71f46,currentBalance,175332.62,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lgvg1f76304ad2ec8171,currentBalance,488216.72,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lh2n9ea3a8d6fc9ed8a2,currentBalance,735362.16,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lh8jed0c26a940e15b01,currentBalance,532963.25,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lhc18c1338832e44a9f7,currentBalance,932223.86,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lhi9d5f9c54784019229,currentBalance,521793.80,at or below the original principal,XFD-001
XFD-001,Current balance exceeds original principal,CRITICAL,RESOLVED,mtg4lhm09df1f62a3a0f68ed,currentBalance,576659.28,at or below the original principal,XFD-001
XFD-002,Maturity on or before origination,BLOCKER,REJECTED,mtg4lgae8adbb42230e0579b,maturityDate,2017-11-11,a maturity date after the origination date,date-format-mismatch
XFD-002,Maturity on or before origination,BLOCKER,REJECTED,mtg4lgk79bcbba483995602c,maturityDate,2023-12-11,a maturity date after the origination date,date-format-mismatch
XFD-002,Maturity on or before origination,BLOCKER,REJECTED,mtg4lgt7268d03948cd02b4b,maturityDate,2024-11-14,a maturity date after the origination date,date-format-mismatch
XFD-002,Maturity on or before origination,BLOCKER,REJECTED,mtg4lh7y2c07aceaf85db244,maturityDate,2022-12-17,a maturity date after the origination date,date-format-mismatch
XFD-002,Maturity on or before origination,BLOCKER,REJECTED,mtg4lhjr78ca71b998cf4d1c,maturityDate,2019-12-28,a maturity date after the origination date,date-format-mismatch
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lg9mc732310cf78befda,paymentAmount,3211.47 (amortizing payment is 3024.86),3024.86 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgd02cc32c60dc99bcce,paymentAmount,2291.69 (amortizing payment is 5860.49),5860.49 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgfwe3fff9778b2bdb29,paymentAmount,5954.55 (amortizing payment is 5647.31),5647.31 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgid958f8c31e3f6179a,paymentAmount,8938.50 (amortizing payment is 8230.23),8230.23 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgkpd64ab8496b724138,paymentAmount,16218.61 (amortizing payment is 15063.91),15063.91 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgndcd95703084e9d318,paymentAmount,1675.89 (amortizing payment is 1589.67),1589.67 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgpvc03309d99b853154,paymentAmount,1060.63 (amortizing payment is 956.40),956.40 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgsa6bb5ad579fdb2c39,paymentAmount,6934.58 (amortizing payment is 6514.31),6514.31 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgupa01205f4ea46ea46,paymentAmount,3040.04 (amortizing payment is 2805.94),2805.94 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgwn7de5b0c605026a44,paymentAmount,6728.10 (amortizing payment is 12243.19),12243.19 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lgxka14fcfedfedc0ed6,paymentAmount,4221.78 (amortizing payment is 3873.87),3873.87 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lh3yc3f9bdd408dc1e82,paymentAmount,420.74 (amortizing payment is 397.34),397.34 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lh813f452f16f579adeb,paymentAmount,285.92 (amortizing payment is 261.90),261.90 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,REJECTED,mtg4lhaq99fff980728e0525,paymentAmount,1032.60 (amortizing payment is 945.08),945.08 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lhi9d5f9c54784019229,paymentAmount,3132.48 (amortizing payment is 2885.80),2885.80 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,REJECTED,mtg4lgcq44d5abc9cac673d4,paymentAmount,4054.13 (amortizing payment is 3842.67),3842.67 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,REJECTED,mtg4lgxw0f158c04a2a5b676,paymentAmount,2520.86 (amortizing payment is 3358.64),3358.64 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,REJECTED,mtg4lhd07601bd5f8eb092bf,paymentAmount,2938.32 (amortizing payment is 2704.19),2704.19 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lhkye889ce45c8a6db09,paymentAmount,4432.89 (amortizing payment is 4149.60),4149.60 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lhnmfba8512417a2bb96,paymentAmount,1998.66 (amortizing payment is 1829.78),1829.78 ±2%,XFD-003
XFD-003,Payment does not amortize,CRITICAL,RESOLVED,mtg4lhrk05abacc37876e574,paymentAmount,4241.86 (amortizing payment is 3919.95),3919.95 ±2%,XFD-003
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lg8hf64d073abffdffad,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgaj4bad1eca36416d68,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgf6f348c6fdc14fc70f,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lggx42f2b7133183f885,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgiw057b302009d04d88,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgkkfd33d8007019fbbb,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgmjf474992a46aac16c,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgoaa4b24c8e7b610448,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgq634fa3108898300fa,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgs0abb30199f511d09e,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lgtp82f25496f8a48c93,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,REJECTED,mtg4lgxo5c17b133331b6f59,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lh30dcac74a70bcf3e77,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lh6h090b0b3864976baa,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lh8p4fa0b23dea7d8f55,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lham26c09cee83a39aee,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lhcc813a9f0ce12481cd,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,RESOLVED,mtg4lhg951f8523c10767a2c,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-004,Delinquency conflicts with payment status,CRITICAL,REJECTED,mtg4lgcq44d5abc9cac673d4,paymentStatus,CURRENT,a delinquent status when days past due is above zero,XFD-004
XFD-005,Paid off but balance remains,CRITICAL,RESOLVED,mtg4lga84b543fbf72fd72c9,currentBalance,132100.51,a zero balance on a paid-off loan,XFD-005
XFD-005,Paid off but balance remains,CRITICAL,RESOLVED,mtg4lgga4707dace923c0e32,currentBalance,205486.63,a zero balance on a paid-off loan,XFD-005
XFD-005,Paid off but balance remains,CRITICAL,RESOLVED,mtg4lgli8ed4cb1f26b83f1b,currentBalance,111993.51,a zero balance on a paid-off loan,XFD-005
XFD-005,Paid off but balance remains,CRITICAL,RESOLVED,mtg4lgvg1f76304ad2ec8171,currentBalance,488216.72,a zero balance on a paid-off loan,XFD-005
XFD-005,Paid off but balance remains,CRITICAL,RESOLVED,mtg4lh5l73721bca9c9e448c,currentBalance,429935.58,a zero balance on a paid-off loan,XFD-005
XFD-005,Paid off but balance remains,CRITICAL,RESOLVED,mtg4lhbn734e63d177208379,currentBalance,96386.35,a zero balance on a paid-off loan,XFD-005
XFD-005,Paid off but balance remains,CRITICAL,RESOLVED,mtg4lhja1b2cd93e6c34897c,currentBalance,451987.12,a zero balance on a paid-off loan,XFD-005
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lg7z9c3060da370c738d,termMonths,240,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lg8r582dbc3bd7b05d8f,termMonths,84,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lg9w7a2c0585bdfb4801,termMonths,600,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgazdae62438f9611961,termMonths,60,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgg13f8932d9bf6fda46,termMonths,84,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lghb9beb670c2644db86,termMonths,84,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgis640060ccf6a69207,termMonths,60,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgkmd55ef884531742c3,termMonths,360,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lglr21622aa047faa935,termMonths,84,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgmr3e09a99cb06b325d,termMonths,120,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgq634fa3108898300fa,termMonths,600,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgqt546c1857d87dbbb0,termMonths,360,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgrj93c79dd3e2bead5d,termMonths,120,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgsq877372718edec79c,termMonths,84,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgv8778e4ecab62b9893,termMonths,360,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lgxsa1ef37328a0de56a,termMonths,84,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lha32da202acc12f38ed,termMonths,240,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lhaz43bd6cb6633b3d40,termMonths,60,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,WAIVED,mtg4lhb227eec91605f25bd5,termMonths,600,within 2 months of the gap between origination and maturity,date-format-mismatch
XFD-006,Term inconsistent with the dates,WARNING,REJECTED,mtg4lgnf7c4d7851933887a8,termMonths,60,within 2 months of the gap between origination and maturity,date-format-mismatch
CON-001,Sources disagree on this field,CRITICAL,REJECTED,mtg4lgc2c02520adb89a4bc4,currentBalance,currentBalance: tape 374118.31 vs servicer_update.csv 60134.23,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lg7kd09517140d53a0d2,currentBalance,currentBalance: tape 282742.26 vs servicer_update.csv 278293.02,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgbf8ea92845fbf8c266,currentBalance,currentBalance: tape 495461.77 vs servicer_update.csv 482872.76,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgf6f348c6fdc14fc70f,paymentStatus,paymentStatus: tape CURRENT vs servicer_update.csv DELINQUENT,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgfz06d306296bf7936b,currentBalance,currentBalance: tape 146105.72 vs servicer_update.csv 137395.10,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgjff9c09ab8135815bd,currentBalance,currentBalance: tape 238111.39 vs servicer_update.csv 234190.17,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgmjf474992a46aac16c,paymentStatus,paymentStatus: tape CURRENT vs servicer_update.csv DELINQUENT,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgmu30a9d6d45f797f53,currentBalance,currentBalance: tape 281854.14 vs servicer_update.csv 269475.32,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgnb3311075ffb0c0c33,currentBalance,currentBalance: tape -68036.83 vs servicer_update.csv 68036.83,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgny5d9820fa7c235601,paymentStatus,paymentStatus: tape DEFAULT vs servicer_update.csv DELINQUENT,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgqe6ed6d2a41d9ef5a6,currentBalance,currentBalance: tape 295498.39 vs servicer_update.csv 289579.39,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgus6bed3afc65a7499f,paymentStatus,paymentStatus: tape DEFAULT vs servicer_update.csv DELINQUENT,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lgxh8c03f173c061d30b,currentBalance,currentBalance: tape 132178.82 vs servicer_update.csv 128785.18,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lh4u143d548cf621f5c2,paymentStatus,paymentStatus: tape DEFAULT vs servicer_update.csv DELINQUENT,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lh5l73721bca9c9e448c,currentBalance,currentBalance: tape 429935.58 vs servicer_update.csv 411284.64,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lh6h090b0b3864976baa,paymentStatus,paymentStatus: tape CURRENT vs servicer_update.csv DELINQUENT,the loan tape and the servicer update to agree,source-conflict
CON-001,Sources disagree on this field,CRITICAL,RESOLVED,mtg4lha04b6de7fa6ac12129,currentBalance,currentBalance: tape 659012.35 vs servicer_update.csv 641446.85,the loan tape and the servicer update to agree,source-conflict
