loanId,borrowerId,loanType,loanPurpose,originationDate,maturityDate,originalPrincipal,currentBalance,interestRate,termMonths,paymentAmount,paymentStatus,daysPastDue,lastPaymentDate,borrowerState,borrowerZip,creditScore,creditGrade,employmentLength,incomeBand,appraisedValue,servicerId,servicerName,lastUpdatedAt,documentStatus,sourceSystem,verificationStatus,version,recordHash
LN-000011,B-00356,ARM,Refinance,2018-01-12,2025-12-01,845500.00,787686.89,4.5670,84,11778.95,CURRENT,0,2026-06-28,TN,43521,759,B-,7 years,100-150k,967000.00,SVC-03,SVC-03 Servicing LLC,2026-07-28T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,d9b6a7a2cca747fe9a8f623d45b52984dc29d99595461865ba33039de8d35183
LN-000012,B-00315,ARM,Cash-out refi,2022-05-11,2042-05-11,120500.00,98014.76,7.4260,240,965.29,CURRENT,0,2026-07-10,MI,26797,798,B+,10+ years,150-250k,178000.00,SVC-06,SVC-06 Servicing LLC,2026-07-12T00:00:00.000Z,COMPLETE,BLACKKNIGHT,VERIFIED,2,aa63401fdd1ee93a1a7ca2594295d51f1c315676f485cb41a4351f2fe55a9607
LN-000013,B-00230,ARM,Home improvement,2020-09-21,2030-09-21,281000.00,200303.61,4.3200,120,2887.92,CURRENT,0,2026-06-06,VA,28124,735,A,1 year,50-75k,370000.00,SVC-04,SVC-04 Servicing LLC,2026-07-09T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,90e963327c13ecf7c2ebf73493eb1a19918a01e8cc609b13498b0e0b03865e92
LN-000014,B-00045,AUTO,Home improvement,2020-03-06,2025-03-06,166500.00,166500.00,7.1280,60,3306.96,CURRENT,0,2026-06-13,TX,17032,,B,7 years,<50k,241000.00,SVC-02,SVC-02 Servicing LLC,2026-07-21T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,2,2feecbc0ab0b4a07f4f36fe29c960e610a9ff8e8fb53616303f2bf39929d036a
LN-000015,B-00059,HELOC,Cash-out refi,2023-03-08,2053-03-08,198500.00,129526.60,5.9500,360,1183.73,CURRENT,0,2026-06-24,NY,22030,747,B,10+ years,150-250k,231000.00,SVC-05,SVC-05 Servicing LLC,2026-07-13T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,de505eaad7c9793603fd889c1b2aaecef5df4069d4b82be7d89eb4b0fb102b8f
LN-000016,B-00331,ARM,Debt consolidation,2022-04-23,,66500.00,49108.31,6.5790,120,757.77,CURRENT,0,2026-06-23,WI,96464,595,B+,5 years,150-250k,95000.00,SVC-03,SVC-03 Servicing LLC,2026-07-17T00:00:00.000Z,COMPLETE,BLACKKNIGHT,REJECTED,1,0321a85c96779fd9c11f02f9874b08f6120c78953a705976f89848edbd2bed8f
LN-000017,B-00033,ARM,Purchase,2015-10-26,2030-10-26,68500.00,31397.77,5.2330,180,550.04,CURRENT,0,2026-06-08,AZ,94878,748,A-,2 years,50-75k,89000.00,SVC-01,SVC-01 Servicing LLC,2026-07-10T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,474089ef827c38d8a3278d81ad3283856e81974d07777b16435422ba30076c9e
LN-000018,B-00248,ARM,Home improvement,2016-07-25,2046-07-25,233500.00,189680.13,6.7840,360,1519.76,CURRENT,0,2026-07-14,IL,32411,,C,10+ years,150-250k,348000.00,SVC-04,SVC-04 Servicing LLC,2026-07-23T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,2,523e996140b7b38dfc9ab1a714b11b7ef39fbcdbaddcf30f6413a957963a6a4c
LN-000019,B-00445,HELOC,Purchase,2015-08-14,2022-08-14,438000.00,414386.98,7.1750,84,6648.13,DELINQUENT,60,2026-07-13,OH,88614,616,C+,< 1 year,100-150k,692000.00,SVC-03,SVC-03 Servicing LLC,2026-07-26T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,c884f1c6563eb160cf40dcb6d0b6c558abbe86dab66591f47b23c965dc96648a
LN-000020,B-00435,ARM,Debt consolidation,2022-08-23,2032-08-23,253500.00,222501.40,7.6190,120,3024.86,CURRENT,0,2026-06-28,PA,93215,607,B,10+ years,<50k,300000.00,SVC-06,SVC-06 Servicing LLC,2026-07-31T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,2,dd56676370d04c38cd70ea43bb975c7e2042795228ad79b8809fc6df56ac2a56
LN-000021,B-00064,PERSONAL,Debt consolidation,2018-08-14,2048-08-14,467000.00,356223.25,4.9310,360,2487.30,CURRENT,0,2026-06-30,WI,21336,636,B-,7 years,150-250k,695000.00,SVC-05,SVC-05 Servicing LLC,2026-07-30T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,870306e96d5e6f06130f617af4011314378e7f62766080b030c598fbdea3aaf3
LN-000022,B-00048,FIXED,Cash-out refi,2021-11-14,2051-11-14,657000.00,438529.55,4.3630,360,3275.66,CURRENT,0,2026-07-06,AZ,02354,,C,1 year,100-150k,1023000.00,SVC-01,SVC-01 Servicing LLC,2026-07-16T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,2,5ada985edd84fa397b504e08f652e0964c72f91edafe861f82418bc75c524eed
LN-000023,B-00011,AUTO,Cash-out refi,2018-04-28,2048-04-28,538000.00,279015.73,5.6670,360,3111.31,CURRENT,0,2026-07-13,MD,98754,685,A,3 years,150-250k,758000.00,SVC-01,SVC-01 Servicing LLC,2026-07-13T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,1,d89381bafcfcd53a58c6e88114ee05ee233250abf538fe528bfa99a73ecf0035
LN-000024,B-00335,ARM,Home improvement,2016-06-26,2036-06-26,189000.00,0.00,7.1130,240,1478.16,PAID_OFF,0,2026-07-09,NY,96377,763,C,3 years,100-150k,300000.00,SVC-02,SVC-02 Servicing LLC,2026-07-31T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,2,21219036104666e3c60940313872fa12984ad9213f147fc9fd3b378e8e1d5bac
LN-000025,B-00402,HELOC,Home improvement,2018-04-14,2048-04-14,773000.00,513948.98,7.2700,360,5283.71,CURRENT,0,2026-06-10,PA,27045,752,A,5 years,150-250k,1141000.00,SVC-02,SVC-02 Servicing LLC,2026-07-13T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,0e3f1c08bff743587ea60730e5c99b27bb47d3e370eef427fbff81b1e2abba67
LN-000026,B-00122,HELOC,Debt consolidation,2047-11-11,2017-11-11,670000.00,380093.12,5.2970,360,3719.29,CURRENT,0,2026-06-19,MA,28578,,A,2 years,100-150k,873000.00,SVC-06,SVC-06 Servicing LLC,2026-07-14T00:00:00.000Z,COMPLETE,SHAWBROOK,REJECTED,1,5f98ace448b3e486d0f92487ac560976f9af8686611be86b525a9693f19a4b98
LN-000027,B-00434,HELOC,Debt consolidation,2019-05-21,2049-05-21,770500.00,604049.97,4.8570,360,4069.14,DELINQUENT,60,2026-06-11,CA,67943,738,A-,7 years,250k+,1211000.00,SVC-02,SVC-02 Servicing LLC,2026-07-08T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,2,97e2febbddc30bbe9a753b0893cfc5ac42bdb71324d97e4fa30a7b9e7a2add6c
LN-000028,B-00042,AUTO,Cash-out refi,2022-10-10,2042-10-10,179500.00,113120.33,6.5340,240,1341.90,DELINQUENT,-10,2026-06-19,FL,93604,787,A-,7 years,75-100k,218000.00,SVC-01,SVC-01 Servicing LLC,2026-07-18T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,9554bc6ef81a7ef5c6f8872a410164c96db69e6a23c62dc9746255fb4f469dda
LN-000029,B-00262,ARM,Purchase,2023-10-15,2043-10-15,579000.00,507550.21,5.6690,240,4038.34,CURRENT,0,2026-07-18,WI,99912,589,A-,< 1 year,150-250k,887000.00,SVC-02,SVC-02 Servicing LLC,2026-07-21T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,b9d1214b4824030d598676b195be9b477042d8ac835f06de141a944c309e917c
LN-000030,B-00363,FIXED,Home improvement,2018-08-07,2038-08-07,703000.00,468432.67,7.0800,240,5484.16,CURRENT,0,2026-06-21,MA,59339,8500,C+,2 years,50-75k,1000000.00,SVC-01,SVC-01 Servicing LLC,2026-07-09T00:00:00.000Z,COMPLETE,ENCOMPASS,REJECTED,1,25b6002ed823f38cadab72918f68c43eb0a888cf8438254f7f995f7e32f304c7
LN-000031,B-00409,FIXED,Purchase,2016-12-07,2036-12-07,160000.00,87228.44,8.2360,240,1361.90,CURRENT,0,2026-07-11,FL,06329,643,B,5 years,250k+,196000.00,SVC-01,SVC-01 Servicing LLC,2026-07-15T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,1,a9fe7b5b902d88dc3e09919cce60a4b847c45467cf093daa2eeeb39483dcc94b
LN-000032,B-00385,AUTO,Purchase,1900-01-01,2020-10-21,316500.00,202714.14,5.6210,60,6063.21,CURRENT,0,2026-06-24,FL,97976,608,C,3 years,<50k,395000.00,SVC-03,SVC-03 Servicing LLC,2026-07-25T00:00:00.000Z,PARTIAL,ENCOMPASS,VERIFIED,1,f136cabc259736b744df779fd4f4e47ba206da28395d28b6e8d216b4316182b6
LN-000033,B-00364,ARM,Cash-out refi,2019-05-21,2049-05-21,671500.00,563239.07,7.2200,360,4567.16,CURRENT,0,2026-06-03,NC,68052,686,B-,3 years,150-250k,766000.00,SVC-05,SVC-05 Servicing LLC,2026-07-16T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,ee05ff96fbcba1f98f5697ad46096734dd1b7684adbefa64c3b5dbe3b99c1f60
LN-000034,B-00170,FIXED,Purchase,2024-03-27,2054-03-27,53000.00,,5.0920,360,287.50,CURRENT,0,2026-06-24,TN,46994,,B+,< 1 year,100-150k,75000.00,SVC-06,SVC-06 Servicing LLC,2026-07-24T00:00:00.000Z,COMPLETE,FISERV,REJECTED,1,e08ca2d5634fe30e3e129e75f77a19e632608c2823c5e0e8079813e362552896
LN-000035,B-00017,ARM,Home improvement,2024-03-17,2054-03-17,333500.00,254410.74,6.5960,360,2129.05,CURRENT,0,2026-06-19,IN,27811,728,B-,2 years,75-100k,405000.00,SVC-05,SVC-05 Servicing LLC,2026-07-24T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,5955cdde4a850eb5159b644e9fb44deb437ba237ad204c2b4b32f3d5786c5d87
LN-000036,B-00411,HELOC,Debt consolidation,2020-12-01,2030-12-01,654000.00,299968.10,5.0120,120,6940.52,CURRENT,0,2026-06-22,CA,47707,815,A,7 years,250k+,788000.00,SVC-01,SVC-01 Servicing LLC,2026-07-24T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,1,77c5d951da420903c504b9cc86d1a3f2a71423c74005f35fae6e78b093223275
LN-000037,B-00321,PERSONAL,Refinance,2017-05-19,2047-05-19,663500.00,475412.12,8.2080,360,4965.08,CURRENT,0,2026-06-11,TN,86380,626,B-,2 years,50-75k,840000.00,SVC-04,SVC-04 Servicing LLC,2026-07-14T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,2,5bee353cace1839a6dbfeaa0c70bbee788adb6741c92f47116181fce05f3046e
LN-000039,B-00398,ARM,Cash-out refi,2016-07-13,2026-07-13,306500.00,166878.79,6.9540,120,3551.46,CURRENT,0,2026-07-20,MI,09342,729,B,< 1 year,150-250k,428000.00,SVC-02,SVC-02 Servicing LLC,2026-07-30T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,d45b5d3ffb2b526628a4b7fbce789ca9decb796a3604ba649220b264897c7c04
LN-000040,B-00037,PERSONAL,Cash-out refi,2017-01-08,2032-01-08,500000.00,383739.12,4.8710,180,3920.45,CURRENT,0,2026-07-01,AZ,,657,B-,2 years,150-250k,574000.00,SVC-01,SVC-01 Servicing LLC,2026-07-08T00:00:00.000Z,COMPLETE,BLACKKNIGHT,VERIFIED,1,92d0c22803099ad673c1efab1057590c1aa18d1407fe0d8638beb4dfd4f10285
LN-000041,B-00013,AUTO,Refinance,2023-05-03,2053-05-03,382000.00,218104.69,5.2700,360,2114.15,CURRENT,0,2026-07-20,MD,98880,766,C,2 years,250k+,441000.00,SVC-05,SVC-05 Servicing LLC,2026-07-29T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,16ab951ba08d64a5be62c8311910c28bd4b5726a19456b21109527a325a4e64a
LN-000042,B-00250,FIXED,Cash-out refi,2017-12-26,2047-12-26,648000.00,374118.31,4.1760,360,3159.76,DEFAULT,90,2026-06-07,MD,65528,,C,3 years,50-75k,946000.00,SVC-04,SVC-04 Servicing LLC,2026-07-15T00:00:00.000Z,COMPLETE,BLACKKNIGHT,REJECTED,1,bbc65c59f015b463b104b8d7de918f24fda7de00311cc420ea7e52586a0845aa
LN-000042,B-00201,AUTO,Cash-out refi,2024-12-15,2034-12-15,71500.00,60134.23,6.0290,120,794.84,CURRENT,0,2026-07-17,NJ,02643,693,C+,3 years,150-250k,109000.00,SVC-04,SVC-04 Servicing LLC,2026-07-19T00:00:00.000Z,COMPLETE,LEGACY-AS400,REJECTED,1,7469b08c9542b4c92684343d3a742bb8bf1b41503229b9a1738f76b4134f99d0
LN-000043,B-00179,FIXED,Refinance,2016-11-18,2046-11-18,555000.00,271124.00,6.0720,360,3353.24,DELINQUENT,45,2026-06-10,,70955,673,B+,3 years,50-75k,878000.00,SVC-06,SVC-06 Servicing LLC,2026-07-17T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,cb39e3ce0aa32bb5eb1b23086dfbfb1d745ee6bbf89f497e7f79efacd222d186
LN-000044,B-00398,AUTO,Cash-out refi,2016-02-16,2021-02-16,745000.00,706841.20,4.5770,60,13915.15,CURRENT,0,2026-07-14,PA,25030,806,C+,1 year,50-75k,930000.00,,Servicing LLC,2026-07-31T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,e06c6491559ce2849cd8c794d1db7843cb9b27e4e6b434a0c96a1550d2725023
LN-000045,B-00346,ARM,Home improvement,2018-11-04,2048-11-04,599000.00,319283.51,6.6670,360,3852.11,CURRENT,0,2026-06-20,CA,60255,802,B-,10+ years,250k+,898000.00,SVC-06,SVC-06 Servicing LLC,2026-07-15T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,1,ff250e8fb36d27fb2d48013cb2dad6322e2d3df255c9af79c3a62f4a364668fd
LN-000047,B-00246,HELOC,Purchase,2023-01-08,2033-01-08,67500.00,57955.62,4.7070,120,706.31,CURRENT,0,2026-06-21,NC,07473,625,B-,3 years,50-75k,96000.00,SVC-05,SVC-05 Servicing LLC,2026-07-23T00:00:00.000Z,COMPLETE,BLACKKNIGHT,VERIFIED,1,bff6f4c280bc543629f769c152532f9258e2ea2abc00226760aa628c89f08948
LN-000048,B-00008,ARM,Home improvement,2017-02-12,2037-02-12,349000.00,200933.09,19.7500,240,5860.49,DELINQUENT,30,2026-06-04,WA,10856,603,B,7 years,150-250k,449000.00,SVC-01,SVC-01 Servicing LLC,2026-07-18T00:00:00.000Z,MISSING,ENCOMPASS,REJECTED,2,beef027689df36ce6c59c5405a5a570a01053a3e712204903ff75142c684c596
LN-000049,B-00440,ARM,Refinance,2024-12-19,2054-12-19,616500.00,417388.20,4.5790,360,3152.72,CURRENT,0,2026-06-27,NC,03281,704,C+,7 years,100-150k,837000.00,SVC-03,SVC-03 Servicing LLC,2026-07-28T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,0372555ccad5f8bc36117c81c8666ffac6829c2d52c28050bb3c9920722bd941
LN-000050,B-00079,HELOC,Cash-out refi,,2038-07-21,474500.00,341721.17,5.8060,240,3346.57,CURRENT,0,2026-07-13,TX,69727,,B,< 1 year,150-250k,742000.00,SVC-06,SVC-06 Servicing LLC,2026-07-19T00:00:00.000Z,COMPLETE,LEGACY-AS400,REJECTED,1,73ef661bc6d7ad75b61d20d315713fcc2cfab11f30e3714f3a11695b3ddb999a
LN-000051,B-00450,PERSONAL,Purchase,2015-03-04,2030-03-04,646000.00,646000.00,4.3890,180,4905.29,CURRENT,0,2026-07-02,TN,45656,727,A-,3 years,100-150k,769000.00,SVC-01,SVC-01 Servicing LLC,2026-07-19T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,2,7be8f45f26670113500ef10f32806d82eeb7569db99ff5454336e84c13ef011a
LN-000052,B-00173,FIXED,Debt consolidation,2023-03-24,2038-03-24,320500.00,167243.11,6.0440,180,2712.19,CURRENT,0,2026-06-26,CA,11270,726,B-,7 years,250k+,465000.00,SVC-03,SVC-03 Servicing LLC,2026-07-14T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,b2b4af1a16d735a3880e2b2661d151fd46a45d496bd7372fe29e9ad21af6ed04
LN-000053,B-00104,ARM,Refinance,2017-09-21,2024-09-21,688500.00,375404.64,7.0590,84,10411.18,CURRENT,0,2026-07-03,MI,40623,654,B,5 years,75-100k,855000.00,SVC-06,SVC-06 Servicing LLC,2026-07-12T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,1,a380a37d9d5778a936cd5f9a88c95d0e136b856fdf6c94b288d8341ca1b8b62b
LN-000054,B-00024,AUTO,Cash-out refi,2018-01-03,2028-01-03,623000.00,355255.32,4.8400,120,6559.27,,0,2026-07-12,NC,14716,,B+,7 years,100-150k,801000.00,SVC-01,SVC-01 Servicing LLC,2026-07-20T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,1,31a0fc595f416532e6097908cb4261688e7451d2519ecec83f1de197d4cc4a76
LN-000055,B-00337,HELOC,Cash-out refi,2015-05-28,2022-05-28,431500.00,304270.21,6.9740,84,6507.01,CURRENT,0,2026-06-13,NC,41119,724,C+,10+ years,250k+,575000.00,SVC-01,SVC-01 Servicing LLC,2026-07-24T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,ab3b21816f3b99ae2c659a3d6ae46df3819b0db2b5b25faf4e762e82b6c9c30a
LN-000056,B-00184,AUTO,Cash-out refi,2020-12-05,2050-12-05,355500.00,193274.97,8.2040,360,2659.27,CURRENT,0,2026-07-19,NJ,02735,814,B,1 year,50-75k,496000.00,SVC-01,SVC-01 Servicing LLC,2026-07-20T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,1,eb51f92c7abbe1c487cce9d459f5b684b89fcd90a84369e789509797c5b9b4bc
LN-000057,B-00319,AUTO,Home improvement,2016-09-17,2046-09-17,129000.00,81716.43,4.6910,360,668.35,CURRENT,0,2026-07-23,MA,76833,638,A,1 year,150-250k,177000.00,SVC-04,SVC-04 Servicing LLC,2026-07-29T00:00:00.000Z,COMPLETE,BLACKKNIGHT,VERIFIED,1,d2cb2d49fdfaaec89f14a3dda03b337c2371fb779169c383b5f7042890029de4
LN-000058,B-00243,FIXED,Cash-out refi,2015-03-18,2035-03-18,148000.00,103753.14,7.6690,240,1207.62,DEFAULT,120,2026-06-01,MD,24590,,A,10+ years,250k+,207000.00,SVC-05,SVC-05 Servicing LLC,2026-07-07T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,d8c1f4574fd5ae20edf0c7043d3214516bc710afed8d2b12a2edfd7fd6e0a605
LN-000059,B-00220,ARM,Debt consolidation,2020-05-27,2027-05-27,296500.00,178474.63,3.9680,84,4048.44,CURRENT,0,2026-06-06,NJ,89375,719,A,7 years,50-75k,397000.00,SVC-02,SVC-02 Servicing LLC,2026-07-20T00:00:00.000Z,COMPLETE,SHAWBROOK,VERIFIED,1,523d89b1f13c5dbeadd497ae97e5898a11aaba044d3a5ede787f53d41bddf030
LN-000060,B-00361,HELOC,Refinance,2019-01-18,2049-01-18,182000.00,149237.95,3.9910,360,867.95,CURRENT,0,2026-06-03,NC,77310,791,B+,5 years,250k+,231000.00,SVC-06,SVC-06 Servicing LLC,2026-07-12T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,7b29e55b3757626cbc39d299745f92fc79e9add4a4342fd8a97618c4b9e133b2
LN-000061,B-00044,FIXED,Purchase,2023-06-16,2033-06-16,56000.00,38345.24,3.8690,120,563.49,CURRENT,0,2026-07-16,NY,95224,701,C+,5 years,50-75k,73000.00,SVC-05,SVC-05 Servicing LLC,2026-07-20T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,1,225f6c7b533f560685a178ae27561778818332fa84d8e8cd4d668adc6ef57fd6
LN-000062,B-00012,PERSONAL,Cash-out refi,2021-10-11,2028-10-11,89500.00,49869.03,4.8660,84,1259.36,CURRENT,0,2026-06-24,NY,29703,,B+,< 1 year,250k+,126000.00,SVC-03,SVC-03 Servicing LLC,2026-07-25T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,555d9601f9ed4b92ee3d0b9b9ebcf0556e89dcbd06d62f49738f3af560560d62
LN-000063,B-00035,FIXED,Debt consolidation,2024-03-19,2054-03-19,617000.00,489841.98,7.5960,360,4354.79,CURRENT,0,2026-06-11,WA,22720,775,C,1 year,150-250k,897000.00,SVC-05,SVC-05 Servicing LLC,2026-07-09T00:00:00.000Z,PARTIAL,FISERV,VERIFIED,1,8ebda894b9d7e239e42b33bc396966edae6112e4aa2f1d4f989cf4c224afa1d2
LN-000064,B-00250,PERSONAL,Refinance,2024-01-09,2031-01-09,203000.00,136556.04,6.0670,84,2972.06,CURRENT,0,2026-06-01,TX,59480,818,C,2 years,250k+,230000.00,SVC-05,SVC-05 Servicing LLC,2026-07-15T00:00:00.000Z,COMPLETE,BLACKKNIGHT,VERIFIED,1,dba25288dac6220e1370b016abbe4c27f538af1849675f00d6424c2f598abb8c
LN-000065,B-00264,HELOC,Refinance,2023-12-21,2038-12-21,376500.00,324368.21,7.0180,180,3387.88,DELINQUENT,15,2026-07-23,IL,06900,756,A-,< 1 year,75-100k,434000.00,SVC-01,SVC-01 Servicing LLC,2026-07-30T00:00:00.000Z,COMPLETE,ENCOMPASS,REJECTED,2,edcb8e09aa0e292d9ae2f37eeb9da6fbd89842af359f35f20c61a54e46976e6e
LN-000066,B-00326,HELOC,Refinance,2021-03-19,2026-03-19,268000.00,152286.22,5.6280,60,5134.96,CURRENT,0,2026-07-08,NY,40353,,B-,3 years,100-150k,328000.00,SVC-04,SVC-04 Servicing LLC,2026-07-12T00:00:00.000Z,COMPLETE,ENCOMPASS,VERIFIED,1,868d6e1e6036597f55deefe0f4d7488897be4b698d7d008aae99bc3e23dd0320
LN-000067,B-00219,ARM,Refinance,2021-02-18,2028-02-18,836000.00,673831.06,5.6920,84,12089.69,CURRENT,0,2026-06-07,NY,19483,771,A,5 years,150-250k,1276000.00,SVC-03,SVC-03 Servicing LLC,2026-07-13T00:00:00.000Z,COMPLETE,LEGACY-AS400,VERIFIED,1,5446f972153f88d975c3f868ea5532d77d3d6bb742d91bfafd0813af214753f2
LN-000068,B-00155,ARM,Refinance,2015-09-08,2035-09-08,563000.00,357152.82,5.7680,240,3958.52,CURRENT,0,2026-07-15,WA,38057,732,A,2 years,<50k,649000.00,SVC-04,SVC-04 Servicing LLC,2026-07-16T00:00:00.000Z,COMPLETE,FISERV,VERIFIED,1,d41c1140101e37eaf5314e0417380a728910903fc158c86e5eb2adf854040511
