Loan No,Borrower ID,Product,Purpose,Orig Dt,Mat Dt,Orig Bal ($),Curr Bal ,Int Rate,Term,P&I,Status,DPD,Last Paid,Prop St,Zip,FICO,Grade,Emp Length,Income Band,Col_17,Svcr,Servicer Name,As Of,Source System,Pool Cd,Notes
LN-000015,B-00059,HELOC,Debt consolidation,03/08/2023,03/08/2053,"$198,500.00",129526.60,0.05950,360,1183.73,Current,0,2026-06-19,NY,22030,747,A,< 1 year,<50k,231000,SVC-05,SVC-05 Servicing LLC,2026-07-13,BLACKKNIGHT,P-2024-B,refi
LN-000016,B-00331,ARM,Debt consolidation,04/23/2022,TBD,"$66,500.00",49108.31,0.06579,120,757.77,Current,0,2026-06-04,WI,96464,595,B+,3 years,75-100k,95000,SVC-03,SVC-03 Servicing LLC,2026-07-17,BLACKKNIGHT,P-2023-C,refi
LN-000017,B-00033,Adjustable Rate,Home improvement,10/26/2015,10/26/2030,"$68,500.00","$31,397.77",0.05233,180,550.04,Current,0,2026-06-25,AZ,94878,748,B-,3 years,250k+,89000,SVC-01,SVC-01 Servicing LLC,2026-07-10,SHAWBROOK,P-2024-A,modified 2023
LN-000018,B-00248,ARM,Cash-out refi,25/07/2016,07/25/2046,"$233,500.00",189680.13,6.784,360,1519.76,Current,0,2026-07-13,IL,32411,,A-,10+ years,<50k,348000,SVC-04,SVC-04 Servicing LLC,2026-07-23,FISERV,P-2024-B,see servicing file
LN-000019,B-00445,HELOC,Debt consolidation,08/14/2015,08/14/2022,"$438,000.00",414386.98,0.07175,84,6648.13,Delinquent,60,2026-06-16,OH,88614,616,B-,1 year,100-150k,692000,SVC-03,SVC-03 Servicing LLC,2026-07-26,FISERV,P-2024-A,
LN-000020,B-00435,Adjustable Rate,Purchase,08/23/2022,08/23/2032,"$253,500.00",222501.40,0.07619,120,3211.47,Current,0,2026-06-23,PA,93215,607,B-,10+ years,<50k,300000,SVC-06,SVC-06 Servicing LLC,2026-07-31,SHAWBROOK,P-2023-C,see servicing file
LN-000021,B-00064,Personal,Debt consolidation,08/14/2018,08/14/2048,"$467,000.00",356223.25,0.04931,360,2487.30,Current,0,2026-07-10,WI,21336,636,A,< 1 year,75-100k,695000,SVC-05,SVC-05 Servicing LLC,2026-07-30,SHAWBROOK,P-2023-C,see servicing file
LN-000022,B-00048,Fixed Rate,Home improvement,11/14/2021,11/14/2051,"$657,000.00",438529.55,0.04363,600,3275.66,Current,0,2026-06-15,AZ,2354,,C+,10+ years,<50k,1023000,SVC-01,SVC-01 Servicing LLC,2026-07-16,FISERV,P-2024-B,
LN-000023,B-00011,Auto,Purchase,04/28/2018,04/28/2048,"$538,000.00",279015.73,0.05667,360,3111.31,Current,0,2026-06-03,MD,98754,685,B-,10+ years,150-250k,758000,SVC-01,SVC-01 Servicing LLC,2026-07-13,ENCOMPASS,P-2024-B,escrow waived
LN-000024,B-00335,ARM,Cash-out refi,06/26/2016,06/26/2036,"$189,000.00",132100.51,0.07113,240,1478.16,Paid Off,0,2026-07-30,NY,96377,763,C+,5 years,<50k,300000,SVC-02,SVC-02 Servicing LLC,2026-07-31,BLACKKNIGHT,P-2023-C,
LN-000025,B-00402,HELOC,Cash-out refi,14/04/2018,04/14/2048,"$773,000.00","$513,948.98",0.07270,360,5283.71,Current,0,2026-05-31,PA,27045,752,A,2 years,150-250k,1141000,SVC-02,SVC-02 Servicing LLC,2026-07-13,SHAWBROOK,P-2024-A,see servicing file
LN-000026,B-00122,HELOC,Home improvement,11/11/2047,11/11/2017,"$670,000.00",380093.12,0.05297,360,3719.29,Current,0,2026-07-12,MA,28578,,C+,1 year,<50k,873000,SVC-06,SVC-06 Servicing LLC,2026-07-14,BLACKKNIGHT,P-2023-C,escrow waived
LN-000027,B-00434,HELOC,Refinance,05/21/2019,05/21/2049,"$770,500.00",604049.97,0.04857,360,4069.14,Current,60,2026-07-05,CA,67943,738,B,5 years,150-250k,1211000,SVC-02,SVC-02 Servicing LLC,2026-07-08,SHAWBROOK,P-2023-C,see servicing file
LN-000028,B-00042,Auto,Debt consolidation,10/10/2022,10/10/2042,"$179,500.00",113120.33,0.06534,240,1341.90,Delinquent,-10,2026-07-08,FL,93604,787,C+,5 years,100-150k,218000,SVC-01,SVC-01 Servicing LLC,2026-07-18,SHAWBROOK,P-2024-B,
LN-000029,B-00262,Adjustable Rate,Debt consolidation,10/15/2023,52519,"$579,000.00",507550.21,0.05669,240,4038.34,Current,0,2026-07-11,WI,99912,589,B+,2 years,50-75k,887000,SVC-02,SVC-02 Servicing LLC,2026-07-21,ENCOMPASS,P-2024-A,escrow waived
LN-000030,B-00363,Fixed Rate,Purchase,08/07/2018,08/07/2038,"$703,000.00",468432.67,0.07080,240,5484.16,Current,0,2026-06-28,MA,59339,8500,C+,2 years,250k+,1000000,SVC-01,SVC-01 Servicing LLC,2026-07-09,BLACKKNIGHT,P-2024-B,
LN-000031,B-00409,Fixed Rate,Refinance,12/07/2016,12/07/2036,"$160,000.00",87228.44,0.08236,240,1361.90,Current,0,2026-06-08,FL,06329,643,A-,< 1 year,75-100k,196000,SVC-01,SVC-01 Servicing LLC,2026-07-15,ENCOMPASS,P-2024-A,
LN-000032,B-00385,Auto,Home improvement,01/01/1900,10/21/2020,"$316,500.00",202714.14,0.05621,60,6063.21,Current,0,2026-07-04,FL,97976,608,C,5 years,250k+,395000,SVC-03,SVC-03 Servicing LLC,2026-07-25,SHAWBROOK,P-2024-A,escrow waived
LN-000033,B-00364,ARM,Cash-out refi,05/21/2019,05/21/2049,"$671,500.00","$563,239.07",0.07220,360,4567.16,Current,0,2026-06-03,NC,68052,686,A,1 year,75-100k,766000,SVC-05,SVC-05 Servicing LLC,2026-07-16,LEGACY-AS400,P-2024-B,see servicing file
LN-000034,B-00170,Fixed,Cash-out refi,03/27/2024,03/27/2054,"$53,000.00",pending,0.05092,360,287.50,Current,0,2026-06-28,TN,46994,,B+,2 years,150-250k,75000,SVC-06,SVC-06 Servicing LLC,2026-07-24,ENCOMPASS,P-2024-B,
LN-000035,B-00017,Adjustable Rate,Purchase,03/17/2024,03/17/2054,"$333,500.00",254410.74,0.06596,360,2129.05,Current,0,2026-07-06,IN,27811,728,B-,1 year,150-250k,405000,SVC-05,SVC-05 Servicing LLC,2026-07-24,SHAWBROOK,P-2024-B,see servicing file
LN-000036,B-00411,HELOC,Cash-out refi,12/01/2020,12/01/2030,"$654,000.00",299968.10,0.05012,120,6940.52,Current,0,2026-06-28,Calif.,47707,815,C,5 years,150-250k,788000,SVC-01,SVC-01 Servicing LLC,2026-07-24,LEGACY-AS400,P-2024-A,
LN-000037,B-00321,Personal,Home improvement,05/19/2017,05/19/2047,"$663,500.00",495461.77,0.08208,360,4965.08,Current,0,2026-07-11,TN,86380,626,C+,5 years,50-75k,840000,SVC-04,SVC-04 Servicing LLC,2026-07-14,SHAWBROOK,P-2024-B,
,B-00041,ARM,Refinance,02/28/2020,02/28/2050,"$441,000.00",232456.38,0.03820,360,2059.90,Current,0,2026-06-30,MD,45714,,B+,< 1 year,100-150k,669000,SVC-02,SVC-02 Servicing LLC,2026-07-31,LEGACY-AS400,P-2023-C,modified 2023
LN-000039,B-00398,Adjustable Rate,Purchase,13/07/2016,07/13/2026,"$306,500.00",166878.79,0.06954,120,3551.46,Current,0,2026-06-25,MI,9342,729,A-,1 year,250k+,428000,SVC-02,SVC-02 Servicing LLC,2026-07-30,FISERV,P-2024-B,refi
LN-000040,B-00037,Personal,Home improvement,01/08/2017,01/08/2032,"$500,000.00",383739.12,0.04871,180,3920.45,Current,0,2026-07-04,AZ,9021X,657,A-,10+ years,<50k,574000,SVC-01,SVC-01 Servicing LLC,2026-07-08,ENCOMPASS,P-2024-B,
LN-000041,B-00013,Auto,Cash-out refi,05/03/2023,05/03/2053,"$382,000.00","$218,104.69",0.05270,360,2114.15,Current,0,2026-06-29,MD,98880,766,C+,3 years,50-75k,441000,SVC-05,SVC-05 Servicing LLC,2026-07-29,FISERV,P-2024-A,escrow waived
LN-000042,B-00250,Fixed,Refinance,12/26/2017,12/26/2047,"$648,000.00",374118.31,0.04176,360,3159.76,Default,90,2026-06-05,MD,65528,,C,1 year,250k+,946000,SVC-04,SVC-04 Servicing LLC,2026-07-15,LEGACY-AS400,P-2024-B,
LN-000043,B-00179,Fixed,Cash-out refi,11/18/2016,11/18/2046,"$555,000.00",271124.00,0.06072,360,3353.24,Delinquent,45,2026-06-05,XX,70955,673,B,10+ years,250k+,878000,SVC-06,SVC-06 Servicing LLC,2026-07-17,FISERV,P-2023-C,see servicing file
LN-000044,B-00398,Auto,Cash-out refi,02/16/2016,02/16/2021,"$745,000.00",706841.20,0.04577,60,13915.15,Current,0,2026-07-15,PA,25030,806,A-,2 years,50-75k,930000,, Servicing LLC,2026-07-31,FISERV,P-2024-B,refi
LN-000045,B-00346,ARM,Refinance,11/04/2018,11/04/2048,"$599,000.00",319283.51,0.06667,360,3852.11,Current,0,2026-06-07,CA,60255,802,B+,7 years,50-75k,898000,SVC-06,SVC-06 Servicing LLC,2026-07-15,BLACKKNIGHT,P-2023-C,
,B-00333,Fixed Rate,Debt consolidation,18/06/2022,06/18/2052,"$671,500.00",533305.18,0.05571,360,4054.13,Current,45,2026-02-01,PA,96155,,C,< 1 year,250k+,990000,SVC-06,SVC-06 Servicing LLC,2026-03-02,SHAWBROOK,P-2024-A,
LN-000047,B-00246,HELOC,Purchase,01/08/2023,01/08/2033,"$67,500.00",57955.62,0.04707,120,706.31,Current,0,2026-06-18,NC,07473,625,A-,3 years,150-250k,96000,SVC-05,SVC-05 Servicing LLC,2026-07-23,ENCOMPASS,P-2023-C,modified 2023
LN-000048,B-00008,Adjustable Rate,Cash-out refi,02/12/2017,02/12/2037,"$349,000.00",200933.09,0.19750,240,2291.69,Delinquent,30,2026-06-17,WA,10856,603,A-,5 years,75-100k,449000,SVC-01,SVC-01 Servicing LLC,2026-07-18,LEGACY-AS400,P-2023-C,
LN-000049,B-00440,Adjustable Rate,Debt consolidation,12/19/2024,12/19/2054,"$616,500.00","$417,388.20",0.04579,360,3152.72,Current,0,2026-07-03,NC,03281,704,C+,1 year,50-75k,837000,SVC-03,SVC-03 Servicing LLC,2026-07-28,SHAWBROOK,P-2024-A,
LN-000050,B-00079,HELOC,Cash-out refi,30/02/2022,07/21/2038,"$474,500.00",341721.17,0.05806,240,3346.57,Current,0,2026-06-12,TX,69727,,B+,2 years,100-150k,742000,SVC-06,SVC-06 Servicing LLC,2026-07-19,ENCOMPASS,P-2024-B,
LN-000051,B-00450,Personal,Purchase,03/04/2015,03/04/2030,"$646,000.00",716673.61,0.04389,180,4905.29,Current,0,2026-06-27,TN,45656,727,C+,10+ years,150-250k,769000,SVC-01,SVC-01 Servicing LLC,2026-07-19,FISERV,P-2024-A,
LN-000052,B-00173,Fixed,Cash-out refi,03/24/2023,50488,"$320,500.00",167243.11,0.06044,180,2712.19,Current,0,2026-07-08,CA,11270,726,B,< 1 year,250k+,465000,SVC-03,SVC-03 Servicing LLC,2026-07-14,BLACKKNIGHT,P-2023-C,refi
LN-000053,B-00104,Adjustable Rate,Home improvement,21/09/2017,09/21/2024,"$688,500.00",375404.64,0.07059,84,10411.18,Current,0,2026-06-14,MI,40623,654,C,2 years,75-100k,855000,SVC-06,SVC-06 Servicing LLC,2026-07-12,FISERV,P-2024-A,see servicing file
LN-000054,B-00024,Auto,Home improvement,01/03/2018,01/03/2028,"$623,000.00",355255.32,0.04840,120,6559.27,Current,0,2026-06-30,NC,14716,,B+,7 years,250k+,801000,SVC-01,SVC-01 Servicing LLC,2026-07-20,ENCOMPASS,P-2024-B,see servicing file
LN-000055,B-00337,HELOC,Debt consolidation,05/28/2015,05/28/2022,"$431,500.00",304270.21,0.06974,84,6507.01,Current,0,2026-07-07,NC,41119,724,B,1 year,75-100k,575000,SVC-01,SVC-01 Servicing LLC,2026-07-24,LEGACY-AS400,P-2024-B,
LN-000056,B-00184,Auto,Debt consolidation,12/05/2020,12/05/2050,"$355,500.00",193274.97,0.08204,360,2659.27,Current,0,2026-06-12,NJ,2735,814,C,10+ years,250k+,496000,SVC-01,SVC-01 Servicing LLC,2026-07-20,ENCOMPASS,P-2024-B,refi
LN-000057,B-00319,Auto,Purchase,09/17/2016,09/17/2046,"$129,000.00","$81,716.43",0.04691,360,668.35,Current,0,2026-07-05,MA,76833,638,A-,7 years,<50k,177000,SVC-04,SVC-04 Servicing LLC,2026-07-29,ENCOMPASS,P-2023-C,
LN-000058,B-00243,Fixed,Refinance,03/18/2015,03/18/2035,"$148,000.00",103753.14,0.07669,240,1207.62,Default,120,2026-07-05,MD,24590,,B,2 years,150-250k,207000,SVC-05,SVC-05 Servicing LLC,2026-07-07,BLACKKNIGHT,P-2024-B,escrow waived
LN-000059,B-00220,ARM,Debt consolidation,05/27/2020,05/27/2027,"$296,500.00",178474.63,0.03968,84,4048.44,Current,0,2026-07-20,NJ,89375,719,C+,7 years,75-100k,397000,SVC-02,SVC-02 Servicing LLC,2026-07-20,LEGACY-AS400,P-2023-C,
LN-000060,B-00361,HELOC,Home improvement,18/01/2019,01/18/2049,"$182,000.00",149237.95,0.03991,360,867.95,Current,0,2026-07-12,NC,77310,791,B+,7 years,100-150k,231000,SVC-06,SVC-06 Servicing LLC,2026-07-12,LEGACY-AS400,P-2024-B,refi
LN-000061,B-00044,Fixed,Home improvement,06/16/2023,06/16/2033,"$56,000.00",38345.24,0.03869,120,563.49,Current,0,2026-07-04,NY,95224,701,C,2 years,100-150k,73000,SVC-05,SVC-05 Servicing LLC,2026-07-20,ENCOMPASS,P-2024-A,
LN-000062,B-00012,Personal,Home improvement,10/11/2021,10/11/2028,"$89,500.00",49869.03,0.04866,84,1259.36,Current,0,2026-06-19,NY,29703,,A-,< 1 year,250k+,126000,SVC-03,SVC-03 Servicing LLC,2026-07-25,SHAWBROOK,P-2024-B,escrow waived
LN-000063,B-00035,Fixed,Purchase,03/19/2024,03/19/2054,"$617,000.00",489841.98,0.07596,360,4354.79,Current,0,2026-06-23,WA,22720,775,C,1 year,100-150k,897000,SVC-05,SVC-05 Servicing LLC,2026-07-09,SHAWBROOK,P-2023-C,modified 2023
LN-000064,B-00250,Personal,Refinance,01/09/2024,01/09/2031,"$203,000.00",136556.04,0.06067,84,2972.06,Current,0,2026-06-06,TX,59480,818,B-,1 year,50-75k,230000,SVC-05,SVC-05 Servicing LLC,2026-07-15,LEGACY-AS400,P-2024-B,
LN-000065,B-00264,HELOC,Refinance,12/21/2023,12/21/2038,"$376,500.00","$324,368.21",0.07018,180,3387.88,Current,45,2026-06-19,IL,06900,756,C,3 years,50-75k,434000,SVC-01,SVC-01 Servicing LLC,2026-07-30,ENCOMPASS,P-2024-B,refi
LN-000066,B-00326,HELOC,Purchase,03/19/2021,03/19/2026,"$268,000.00",152286.22,0.05628,60,5134.96,Current,0,2026-07-03,NY,40353,,B+,< 1 year,75-100k,328000,SVC-04,SVC-04 Servicing LLC,2026-07-12,ENCOMPASS,P-2024-A,see servicing file
LN-000067,B-00219,Adjustable Rate,Cash-out refi,18/02/2021,02/18/2028,"$836,000.00",673831.06,0.05692,84,12089.69,Current,0,2026-06-13,NY,19483,771,B,< 1 year,250k+,1276000,SVC-03,SVC-03 Servicing LLC,2026-07-13,LEGACY-AS400,P-2024-A,modified 2023
LN-000068,B-00155,Adjustable Rate,Home improvement,09/08/2015,09/08/2035,"$563,000.00",357152.82,0.05768,240,3958.52,Current,0,2026-07-16,WA,38057,732,C+,10+ years,100-150k,649000,SVC-04,SVC-04 Servicing LLC,2026-07-16,ENCOMPASS,P-2024-B,refi
LN-000069,B-00289,ARM,Refinance,10/28/2023,10/28/2043,"$126,500.00",81766.81,0.07011,240,981.59,Current,0,2026-07-28,TN,71258,820,A-,10+ years,250k+,196000,SVC-03,SVC-03 Servicing LLC,2026-07-29,ENCOMPASS,P-2024-B,modified 2023
LN-000070,B-00455,ARM,Home improvement,10/03/2015,10/03/2025,"$806,500.00",631875.71,0.03814,120,8094.32,Current,0,2026-07-02,PA,36617,,B-,< 1 year,75-100k,1192000,SVC-06,SVC-06 Servicing LLC,2026-07-29,SHAWBROOK,P-2023-C,
LN-000071,B-00057,Auto,Refinance,10/21/2024,10/21/2031,"$441,500.00",283505.49,0.07846,84,6847.49,Current,0,2026-06-01,VA,82711,648,B,1 year,100-150k,515000,SVC-01,SVC-01 Servicing LLC,2026-07-07,ENCOMPASS,P-2024-B,
LN-000072,B-00231,Personal,Cash-out refi,03/04/2016,03/04/2031,"$770,500.00",374142.97,0.03865,180,5954.55,Current,0,2026-07-08,MI,57313,624,C+,1 year,50-75k,1206000,SVC-03,SVC-03 Servicing LLC,2026-07-09,LEGACY-AS400,P-2023-C,
LN-000073,B-00062,ARM,Debt consolidation,09/24/2024,09/24/2029,"$186,500.00","$146,105.72",0.07621,60,3747.81,Current,0,2026-06-09,MI,4909,764,B-,2 years,<50k,208000,SVC-05,SVC-05 Servicing LLC,2026-07-15,LEGACY-AS400,P-2024-A,
LN-000074,B-00136,ARM,Refinance,05/12/2017,12/05/2024,"$209,000.00",94435.91,0.06383,84,3091.71,Current,0,2026-07-10,MA,26523,,A,< 1 year,50-75k,322000,SVC-02,SVC-02 Servicing LLC,2026-07-21,ENCOMPASS,P-2024-B,refi
LN-000075,B-00381,Personal,Refinance,07/10/2024,48039,"$690,000.00",559773.89,0.05378,84,9875.42,Current,0,2026-07-01,MO,72901,632,B,1 year,50-75k,811000,SVC-02,SVC-02 Servicing LLC,2026-07-23,FISERV,P-2024-A,modified 2023
LN-000076,B-00208,Adjustable Rate,Purchase,07/02/2018,07/02/2033,"$515,000.00",443787.41,0.04489,180,3936.82,Current,0,2026-07-11,N/A,13843,798,A-,10+ years,250k+,578000,SVC-02,SVC-02 Servicing LLC,2026-07-26,ENCOMPASS,P-2024-B,modified 2023
LN-000077,B-00381,Auto,Home improvement,04/28/2023,04/28/2053,"$446,500.00",205486.63,0.07668,360,3173.52,Paid Off,0,2026-07-01,NY,50124,768,A-,3 years,100-150k,659000,SVC-05,SVC-05 Servicing LLC,2026-07-30,LEGACY-AS400,P-2023-C,
LN-000078,B-00454,ARM,Home improvement,05/18/2017,05/18/2024,"$181,500.00",97184.99,0.03956,84,2477.21,Current,0,2026-06-30,PA,95802,,B+,7 years,250k+,225000,SVC-04,SVC-04 Servicing LLC,2026-07-23,BLACKKNIGHT,P-2023-C,
LN-000079,B-00236,HELOC,Home improvement,07/09/2018,07/09/2048,"$443,500.00",322014.86,0.07706,360,3163.81,Current,0,2026-07-09,AZ,40914,582,B-,10+ years,100-150k,624000,SVC-02,SVC-02 Servicing LLC,2026-07-14,FISERV,P-2024-B,refi
LN-000080,B-00163,Fixed,Purchase,03/08/2018,03/08/2048,"$753,500.00",498072.91,0.03847,360,3531.18,Current,0,2026-06-18,OH,32701,656,C+,2 years,75-100k,1145000,SVC-06,SVC-06 Servicing LLC,2026-07-31,LEGACY-AS400,P-2023-C,
LN-000081,B-00177,HELOC,Home improvement,25/03/2016,03/25/2046,"$343,500.00","$201,482.05",0.07311,360,2357.50,Current,0,2026-07-11,NJ,95545,750,B,5 years,250k+,480000,SVC-01,SVC-01 Servicing LLC,2026-07-20,ENCOMPASS,P-2024-A,
LN-000082,B-00353,Adjustable Rate,Debt consolidation,05/10/2021,05/10/2051,"$588,500.00",497516.71,0.07595,360,4153.23,Current,0,2026-07-08,IL,65502,,B-,1 year,50-75k,906000,SVC-04,SVC-04 Servicing LLC,2026-07-17,BLACKKNIGHT,P-2024-B,
LN-000083,B-00138,Adjustable Rate,Refinance,01/08/2015,01/08/2035,"$657,000.00",493520.61,0.07909,240,5458.26,Current,0,2026-07-11,PA,73671,811,B-,10+ years,75-100k,1045000,SVC-02,SVC-02 Servicing LLC,2026-07-11,SHAWBROOK,P-2023-C,see servicing file
LN-000084,B-00048,ARM,Home improvement,11/13/2022,11/13/2052,"$596,500.00",421717.28,0.06808,360,3891.91,Current,75,2026-07-14,VA,13821,726,A-,< 1 year,100-150k,858000,SVC-01,SVC-01 Servicing LLC,2026-07-28,ENCOMPASS,P-2024-A,modified 2023
LN-000085,B-00265,Auto,Refinance,02/19/2020,02/19/2030,"$92,500.00",83249.89,0.05962,120,1025.18,Current,0,2025-06-28,NY,94081,787,B,< 1 year,75-100k,140000,SVC-01,SVC-01 Servicing LLC,2025-08-08,FISERV,P-2024-B,see servicing file
LN-000086,B-00149,Fixed Rate,Home improvement,10/11/2019,10/11/2039,"$66,000.00",32969.47,0.04001,240,399.98,Current,0,2026-06-27,MD,59336,,A,10+ years,<50k,101000,SVC-06,SVC-06 Servicing LLC,2026-07-17,SHAWBROOK,P-2023-C,refi
LN-000087,B-00383,HELOC,Purchase,05/11/2021,05/11/2051,"$114,500.00",74285.70,0.08090,360,847.36,Current,0,2026-07-11,OH,54705,723,A-,3 years,150-250k,148000,SVC-06,SVC-06 Servicing LLC,2026-07-31,FISERV,P-2024-B,see servicing file
LN-000088,B-00456,Auto,Refinance,02/05/2021,05/02/2028,"$163,500.00",180836.47,0.05876,84,2378.79,Current,0,2026-07-06,NC,66075,793,B-,2 years,150-250k,230000,SVC-04,SVC-04 Servicing LLC,2026-07-27,LEGACY-AS400,P-2024-A,
LN-000089,B-00081,Adjustable Rate,Refinance,07/02/2015,07/02/2020,"$438,000.00","$414,347.07",0.06087,60,8485.50,Delinquent,60,2026-07-07,VA,39056,697,A,2 years,75-100k,690000,SVC-01,SVC-01 Servicing LLC,2026-07-15,ENCOMPASS,P-2023-C,refi
LN-000090,B-00008,HELOC,Purchase,08/05/2019,08/05/2049,"$480,500.00",226009.68,0.06900,360,3164.57,Delinquent,60,2026-06-26,TX,5037,,B,< 1 year,50-75k,565000,SVC-01,SVC-01 Servicing LLC,2026-07-29,LEGACY-AS400,P-2024-A,
LN-000091,B-00113,HELOC,Cash-out refi,30/02/2022,07/24/2035,"$199,500.00",159486.71,0.06773,240,1519.66,Current,0,2026-07-09,MD,59954,622,C+,2 years,50-75k,307000,SVC-03,SVC-03 Servicing LLC,2026-07-10,SHAWBROOK,P-2024-A,see servicing file
LN-000092,B-00432,HELOC,Debt consolidation,01/26/2019,01/26/2049,"$475,000.00",409968.43,0.08157,360,3537.51,Current,0,2026-07-03,MI,25546,762,C,1 year,50-75k,530000,SVC-01,SVC-01 Servicing LLC,2026-07-26,LEGACY-AS400,P-2024-A,
LN-000093,B-00465,Personal,Cash-out refi,09/04/2018,09/04/2048,"$754,000.00",674596.86,0.05432,360,4249.02,Current,0,2026-07-12,MD,18015,710,A-,3 years,75-100k,869000,SVC-05,SVC-05 Servicing LLC,2026-07-23,FISERV,P-2024-A,
LN-000094,B-00157,Fixed Rate,Debt consolidation,03/01/2019,03/01/2039,"$69,500.00",60822.61,0.05846,240,491.76,Current,0,2026-07-05,IL,58297,,B-,10+ years,<50k,110000,SVC-06,SVC-06 Servicing LLC,2026-07-19,LEGACY-AS400,P-2023-C,see servicing file
LN-000095,B-00057,Auto,Purchase,18/08/2022,08/18/2032,"$787,000.00",411187.68,0.07407,120,9303.67,Current,0,2026-06-19,VA,90543,602,A,7 years,100-150k,965000,SVC-02,SVC-02 Servicing LLC,2026-07-19,SHAWBROOK,P-2024-B,escrow waived
