Loan No,Promissory Note,Security Instrument
LN-000112,Y,Y
LN-000113,Y,Y
LN-000114,Y,Y
LN-000115,Y,Y
LN-000116,Y,Y
LN-000117,Y,Y
LN-000118,Y,Y
LN-000119,Y,Y
LN-000120,Y,Y
LN-000122,Y,Y
LN-000123,Y,Y
LN-000124,Y,Y
LN-000125,Y,N
LN-000126,Y,Y
LN-000127,Y,Y
LN-000128,Y,Y
LN-000129,Y,Y
LN-000130,Y,Y
LN-000131,Y,Y
LN-000132,Y,Y
LN-000133,Y,Y
LN-000134,Y,Y
LN-000135,Y,Y
LN-000136,Y,Y
LN-000137,Y,Y
LN-000138,Y,Y
LN-000139,Y,Y
LN-000140,Y,Y
LN-000141,Y,Y
LN-000142,N,N
LN-000143,Y,Y
LN-000144,Y,Y
LN-000145,Y,Y
LN-000146,Y,Y
LN-000147,Y,Y
LN-000148,Y,Y
LN-000149,Y,Y
LN-000150,Y,Y
LN-000152,Y,Y
LN-000153,Y,Y
LN-000154,Y,Y
LN-000155,Y,Y
LN-000156,Y,N
LN-000157,Y,Y
LN-000158,Y,Y
LN-000159,Y,Y
LN-000160,Y,Y
LN-000161,Y,Y
LN-000162,Y,Y
LN-000163,Y,Y
LN-000164,Y,Y
LN-000165,Y,Y
LN-000166,Y,Y
LN-000167,Y,Y
LN-000168,Y,Y
LN-000169,Y,Y
LN-000170,Y,Y
LN-000171,Y,Y
LN-000172,Y,Y
LN-000173,Y,Y
LN-000174,Y,Y
LN-000175,Y,Y
LN-000176,Y,Y
LN-000177,Y,Y
LN-000178,Y,Y
LN-000179,Y,Y
LN-000180,Y,Y
LN-000181,Y,Y
LN-000182,Y,Y
LN-000183,Y,Y
LN-000184,Y,Y
LN-000185,Y,Y
LN-000186,Y,Y
LN-000187,Y,N
LN-000188,Y,Y
LN-000189,N,N
LN-000190,Y,Y
LN-000191,Y,Y
LN-000192,Y,Y
LN-000193,Y,Y
LN-000194,Y,Y
LN-000195,Y,Y
LN-000196,Y,Y
LN-000197,Y,Y
LN-000198,Y,Y
LN-000199,Y,Y
LN-000200,Y,Y
LN-000201,Y,Y
LN-000202,Y,Y
LN-000203,Y,Y
LN-000204,Y,Y
LN-000205,Y,Y
LN-000206,Y,Y
LN-000207,Y,Y
LN-000208,Y,Y
LN-000209,Y,Y
LN-000210,Y,Y
LN-000211,Y,Y
LN-000212,Y,Y
LN-000213,Y,Y
LN-000214,Y,Y
LN-000215,Y,Y
LN-000216,Y,Y
LN-000217,Y,Y
LN-000218,Y,N
LN-000219,Y,Y
LN-000220,Y,Y
LN-000221,Y,Y
LN-000222,Y,Y
LN-000223,Y,Y
LN-000224,Y,Y
LN-000225,Y,Y
LN-000226,Y,Y
LN-000227,Y,Y
LN-000228,Y,Y
LN-000229,Y,Y
LN-000230,Y,Y
LN-000231,Y,Y
LN-000232,Y,Y
LN-000233,Y,Y
LN-000234,Y,Y
LN-000235,Y,Y
LN-000236,N,N
LN-000237,Y,Y
LN-000238,Y,Y
LN-000239,Y,Y
LN-000240,Y,Y
LN-000241,Y,Y
LN-000242,Y,Y
LN-000243,Y,Y
LN-000244,Y,Y
LN-000245,Y,Y
LN-000246,Y,Y
LN-000247,Y,Y
LN-000248,Y,Y
LN-000249,Y,N
LN-000250,Y,Y
LN-000251,Y,Y
LN-000252,Y,Y
LN-000253,Y,Y
LN-000254,Y,Y
LN-000255,Y,Y
LN-000256,Y,Y
LN-000258,Y,Y
LN-000259,Y,Y
LN-000260,Y,Y
LN-000261,Y,Y
LN-000262,Y,Y
LN-000263,Y,Y
LN-000265,Y,Y
LN-000266,Y,Y
LN-000267,Y,Y
LN-000268,Y,Y
LN-000269,Y,Y
LN-000270,Y,Y
LN-000271,Y,Y
LN-000272,Y,Y
LN-000273,Y,Y
LN-000274,Y,Y
LN-000275,Y,Y
LN-000276,Y,Y
LN-000277,Y,Y
LN-000278,Y,Y
LN-000280,Y,N
LN-000281,Y,Y
LN-000282,Y,Y
LN-000283,N,N
LN-000284,Y,Y
LN-000285,Y,Y
LN-000286,Y,Y
LN-000287,Y,Y
LN-000288,Y,Y
LN-000289,Y,Y
LN-000290,Y,Y
LN-000291,Y,Y
LN-000292,Y,Y
LN-000293,Y,Y
LN-000294,Y,Y
LN-000295,Y,Y
LN-000296,Y,Y
LN-000297,Y,Y
LN-000298,Y,Y
LN-000299,Y,Y
LN-000300,Y,Y
LN-000301,Y,Y
LN-000302,Y,Y
LN-000303,Y,Y
LN-000304,Y,Y
LN-000305,Y,Y
LN-000306,Y,Y
LN-000307,Y,Y
LN-000308,Y,Y
LN-000309,Y,Y
LN-000310,Y,Y
LN-000311,Y,N
LN-000312,Y,Y
LN-000313,Y,Y
LN-000314,Y,Y
LN-000315,Y,Y
LN-000316,Y,Y
LN-000317,Y,Y
LN-000318,Y,Y
LN-000319,Y,Y
LN-000320,Y,Y
LN-000321,Y,Y
LN-000322,Y,Y
LN-000323,Y,Y
LN-000324,Y,Y
LN-000325,Y,Y
LN-000326,Y,Y
LN-000327,Y,Y
LN-000328,Y,Y
LN-000329,Y,Y
LN-000330,N,N
LN-000331,Y,Y
LN-000332,Y,Y
LN-000333,Y,Y
LN-000334,Y,Y
LN-000335,Y,Y
LN-000336,Y,Y
LN-000337,Y,Y
LN-000338,Y,Y
LN-000339,Y,Y
LN-000340,Y,Y
LN-000341,Y,Y
LN-000342,Y,N
LN-000343,Y,Y
LN-000344,Y,Y
LN-000345,Y,Y
LN-000346,Y,Y
LN-000347,Y,Y
LN-000348,Y,Y
LN-000349,Y,Y
LN-000350,Y,Y
LN-000351,Y,Y
LN-000352,Y,Y
LN-000353,Y,Y
LN-000354,Y,Y
LN-000355,Y,Y
LN-000356,Y,Y
LN-000357,Y,Y
LN-000358,Y,Y
LN-000359,Y,Y
LN-000360,Y,Y
LN-000361,Y,Y
LN-000362,Y,Y
LN-000363,Y,Y
LN-000364,Y,Y
LN-000365,Y,Y
LN-000366,Y,Y
LN-000367,Y,Y
LN-000368,Y,Y
LN-000369,Y,Y
LN-000370,Y,Y
LN-000371,Y,Y
LN-000372,Y,Y
LN-000373,Y,N
LN-000374,Y,Y
LN-000375,Y,Y
LN-000376,Y,Y
LN-000378,Y,Y
LN-000379,Y,Y
LN-000380,Y,Y
LN-000381,Y,Y
LN-000382,Y,Y
LN-000383,Y,Y
LN-000384,Y,Y
LN-000385,Y,Y
LN-000386,Y,Y
LN-000387,Y,Y
LN-000388,Y,Y
LN-000389,Y,Y
LN-000390,Y,Y
LN-000391,Y,Y
LN-000392,Y,Y
LN-000393,Y,Y
LN-000394,Y,Y
LN-000395,Y,Y
LN-000396,Y,Y
LN-000397,Y,Y
LN-000398,Y,Y
LN-000399,Y,Y
LN-000400,Y,Y
LN-000401,Y,Y
LN-000402,Y,Y
LN-000403,Y,Y
LN-000404,Y,N
LN-000405,Y,Y
LN-000406,Y,Y
LN-000407,Y,Y
LN-000408,Y,Y
LN-000409,Y,Y
LN-000410,Y,Y
LN-000411,Y,Y
LN-000412,Y,Y
LN-000413,Y,Y
LN-000414,Y,Y
LN-000415,Y,Y
LN-000416,Y,Y
LN-000417,Y,Y
LN-000418,Y,Y
LN-000419,Y,Y
LN-000420,Y,Y
LN-000421,Y,Y
LN-000422,Y,Y
LN-000423,Y,Y
LN-000424,N,N
LN-000425,Y,Y
LN-000426,Y,Y
LN-000427,Y,Y
LN-000428,Y,Y
LN-000429,Y,Y
LN-000430,Y,Y
LN-000431,Y,Y
LN-000432,Y,Y
LN-000433,Y,Y
LN-000434,Y,Y
LN-000435,Y,N
LN-000436,Y,Y
LN-000438,Y,Y
LN-000439,Y,Y
LN-000440,Y,Y
LN-000441,Y,Y
LN-000442,Y,Y
LN-000443,Y,Y
LN-000444,Y,Y
LN-000445,Y,Y
LN-000446,Y,Y
LN-000447,Y,Y
LN-000448,Y,Y
LN-000449,Y,Y
LN-000450,Y,Y
LN-000451,Y,Y
LN-000452,Y,Y
LN-000453,Y,Y
LN-000454,Y,Y
LN-000455,Y,Y
LN-000456,Y,Y
LN-000457,Y,Y
LN-000458,Y,Y
LN-000459,Y,Y
LN-000460,Y,Y
LN-000461,Y,Y
LN-000462,Y,Y
LN-000463,Y,Y
LN-000464,Y,Y
LN-000465,Y,Y
LN-000466,Y,N
LN-000467,Y,Y
LN-000468,Y,Y
LN-000469,Y,Y
LN-000470,Y,Y
LN-000471,N,N
LN-000472,Y,Y
LN-000473,Y,Y
LN-000474,Y,Y
LN-000475,Y,Y
LN-000476,Y,Y
LN-000477,Y,Y
LN-000478,Y,Y
LN-000479,Y,Y
LN-000480,Y,Y
LN-000481,Y,Y
LN-000482,Y,Y
LN-000483,Y,Y
LN-000484,Y,Y
LN-000485,Y,Y
LN-000486,Y,Y
LN-000487,Y,Y
LN-000488,Y,Y
LN-000489,Y,Y
LN-000490,Y,Y
LN-000491,Y,Y
LN-000492,Y,Y
LN-000493,Y,Y
LN-000494,Y,Y
LN-000495,Y,Y
LN-000496,Y,Y
LN-000497,Y,N
LN-000498,Y,Y
LN-000499,Y,Y
LN-000500,Y,Y
