loanId,borrowerId,loanType,originationDate,maturityDate,originalPrincipal,currentBalance,interestRate,termMonths,paymentAmount,paymentStatus,daysPastDue,borrowerState,borrowerZip,creditScore,appraisedValue,servicerId,lastUpdatedAt
CLEAN-0018,CB-0018,FIXED,2019-06-10,2049-06-10,317000.00,253600.00,5.5000,360,1799.89,CURRENT,0,MO,10119,717,412100.00,SVC-01,2026-07-31
CLEAN-0019,CB-0019,FIXED,2019-07-10,2049-07-10,318000.00,254400.00,5.5000,360,1805.57,CURRENT,0,MD,10126,718,413400.00,SVC-01,2026-07-31
CLEAN-0020,CB-0020,FIXED,2019-08-10,2049-08-10,319000.00,255200.00,5.5000,360,1811.25,CURRENT,0,WI,10133,719,414700.00,SVC-01,2026-07-31
CLEAN-0021,CB-0021,FIXED,2019-09-10,2049-09-10,320000.00,256000.00,5.5000,360,1816.92,CURRENT,0,CA,10140,720,416000.00,SVC-01,2026-07-31
CLEAN-0022,CB-0022,FIXED,2019-10-10,2049-10-10,321000.00,256800.00,5.5000,360,1822.60,CURRENT,0,TX,10147,721,417300.00,SVC-01,2026-07-31
CLEAN-0023,CB-0023,FIXED,2019-11-10,2049-11-10,322000.00,257600.00,5.5000,360,1828.28,CURRENT,0,FL,10154,722,418600.00,SVC-01,2026-07-31
CLEAN-0024,CB-0024,FIXED,2019-12-10,2049-12-10,323000.00,258400.00,5.5000,360,1833.96,CURRENT,0,NY,10161,723,419900.00,SVC-01,2026-07-31
CLEAN-0025,CB-0025,FIXED,2019-01-10,2049-01-10,324000.00,259200.00,5.5000,360,1839.64,CURRENT,0,IL,10168,724,421200.00,SVC-01,2026-07-31
CLEAN-0026,CB-0026,FIXED,2019-02-10,2049-02-10,325000.00,260000.00,5.5000,360,1845.31,CURRENT,0,PA,10175,725,422500.00,SVC-01,2026-07-31
CLEAN-0027,CB-0027,FIXED,2019-03-10,2049-03-10,326000.00,260800.00,5.5000,360,1850.99,CURRENT,0,OH,10182,726,423800.00,SVC-01,2026-07-31
CLEAN-0028,CB-0028,FIXED,2019-04-10,2049-04-10,327000.00,261600.00,5.5000,360,1856.67,CURRENT,0,GA,10189,727,425100.00,SVC-01,2026-07-31
CLEAN-0029,CB-0029,FIXED,2019-05-10,2049-05-10,328000.00,262400.00,5.5000,360,1862.35,CURRENT,0,NC,10196,728,426400.00,SVC-01,2026-07-31
CLEAN-0030,CB-0030,FIXED,2019-06-10,2049-06-10,329000.00,263200.00,5.5000,360,1868.03,CURRENT,0,MI,10203,729,427700.00,SVC-01,2026-07-31
CLEAN-0031,CB-0031,FIXED,2019-07-10,2049-07-10,330000.00,264000.00,5.5000,360,1873.70,CURRENT,0,NJ,10210,730,429000.00,SVC-01,2026-07-31
CLEAN-0032,CB-0032,FIXED,2019-08-10,2049-08-10,331000.00,264800.00,5.5000,360,1879.38,CURRENT,0,VA,10217,731,430300.00,SVC-01,2026-07-31
CLEAN-0033,CB-0033,FIXED,2019-09-10,2049-09-10,332000.00,265600.00,5.5000,360,1885.06,CURRENT,0,WA,10224,732,431600.00,SVC-01,2026-07-31
CLEAN-0034,CB-0034,FIXED,2019-10-10,2049-10-10,333000.00,266400.00,5.5000,360,1890.74,CURRENT,0,AZ,10231,733,432900.00,SVC-01,2026-07-31
CLEAN-0035,CB-0035,FIXED,2019-11-10,2049-11-10,334000.00,267200.00,5.5000,360,1896.42,CURRENT,0,MA,10238,734,434200.00,SVC-01,2026-07-31
CLEAN-0036,CB-0036,FIXED,2019-12-10,2049-12-10,335000.00,268000.00,5.5000,360,1902.09,CURRENT,0,TN,10245,735,435500.00,SVC-01,2026-07-31
CLEAN-0037,CB-0037,FIXED,2019-01-10,2049-01-10,336000.00,268800.00,5.5000,360,1907.77,CURRENT,0,IN,10252,736,436800.00,SVC-01,2026-07-31
CLEAN-0038,CB-0038,FIXED,2019-02-10,2049-02-10,337000.00,269600.00,5.5000,360,1913.45,CURRENT,0,MO,10259,737,438100.00,SVC-01,2026-07-31
CLEAN-0039,CB-0039,FIXED,2019-03-10,2049-03-10,338000.00,270400.00,5.5000,360,1919.13,CURRENT,0,MD,10266,738,439400.00,SVC-01,2026-07-31
CLEAN-0040,CB-0040,FIXED,2019-04-10,2049-04-10,339000.00,271200.00,5.5000,360,1924.80,CURRENT,0,WI,10273,739,440700.00,SVC-01,2026-07-31
CLEAN-0041,CB-0041,FIXED,2019-05-10,2049-05-10,340000.00,272000.00,5.5000,360,1930.48,CURRENT,0,CA,10280,740,442000.00,SVC-01,2026-07-31
CLEAN-0042,CB-0042,FIXED,2019-06-10,2049-06-10,341000.00,272800.00,5.5000,360,1936.16,CURRENT,0,TX,10287,741,443300.00,SVC-01,2026-07-31
CLEAN-0043,CB-0043,FIXED,2019-07-10,2049-07-10,342000.00,273600.00,5.5000,360,1941.84,CURRENT,0,FL,10294,742,444600.00,SVC-01,2026-07-31
CLEAN-0044,CB-0044,FIXED,2019-08-10,2049-08-10,343000.00,274400.00,5.5000,360,1947.52,CURRENT,0,NY,10301,743,445900.00,SVC-01,2026-07-31
CLEAN-0045,CB-0045,FIXED,2019-09-10,2049-09-10,344000.00,275200.00,5.5000,360,1953.19,CURRENT,0,IL,10308,744,447200.00,SVC-01,2026-07-31
CLEAN-0046,CB-0046,FIXED,2019-10-10,2049-10-10,345000.00,276000.00,5.5000,360,1958.87,CURRENT,0,PA,10315,745,448500.00,SVC-01,2026-07-31
CLEAN-0047,CB-0047,FIXED,2019-11-10,2049-11-10,346000.00,276800.00,5.5000,360,1964.55,CURRENT,0,OH,10322,746,449800.00,SVC-01,2026-07-31
CLEAN-0048,CB-0048,FIXED,2019-12-10,2049-12-10,347000.00,277600.00,5.5000,360,1970.23,CURRENT,0,GA,10329,747,451100.00,SVC-01,2026-07-31
CLEAN-0049,CB-0049,FIXED,2019-01-10,2049-01-10,348000.00,278400.00,5.5000,360,1975.91,CURRENT,0,NC,10336,748,452400.00,SVC-01,2026-07-31
CLEAN-0050,CB-0050,FIXED,2019-02-10,2049-02-10,349000.00,279200.00,5.5000,360,1981.58,CURRENT,0,MI,10343,749,453700.00,SVC-01,2026-07-31
